Expression,Result
(A + B),17
(A - B),-3
(D * A),35
(A * D),35
(E / G),9.0
(A + K - J),17
(F * C * B),0
(H - B + A),1
(I * A),119
(C + K + D),63
(D - A + C),34
(D - A),-2
((A * D) - F),35
(A + B + C),53
(A - C + E),-20
((A + B) + K),39
(K * (F * G)),0
(I / J / G),1.4166666666666667
(G * G / G + G),2.0
(F + G - G * G),0
(D - F),5
(F - F * F),0
(K + J + I + H),55
(H - K + J),-6
(K + J - A),27
(D - H),1
(H + (D / C)),4.138888888888889
(C + C + C),108
(A),7
(J / I / G),0.7058823529411765
(G - H),-3
(J * J - K),122
(F + F + F),0
(D * A),35
(A + A + A),21
(F * G),0
(F * H),0
(H * F),0
(I - J * K / E),-12.333333333333332
(E * E * E),729
(B),10
(G / I / J),0.004901960784313725
(J / J),1.0
(E / E),1.0
(E),9
(F),0
(G),1
(H - H + K),22
(F * C),0
(I + J - K - K),-15
(G + E - K),-12
(E + D - C),-22
(C),36
(J - H),8
(J * J),144
(C - C),0
(D - D),0
(F * F * D),0
(G + E),10
(E + G),10
(G / J),0.08333333333333333
(B + E + D / E),19.555555555555557
(G * (E - D)),4
((A + B) * C),612
(D),5
(K - B),12
